sku,store,saledate,stype,total_quantity,total_amount,total_profit
7589,5402,"2005-08-26 00:00:00",P,1,15.750,-0.50
7596,8402,"2005-07-28 00:00:00",P,1,13.900,-25.85
7619,809,"2005-05-27 00:00:00",P,1,39.750,0.00
7664,2409,"2005-07-23 00:00:00",P,1,36.250,0.00
7703,2207,"2005-08-14 00:00:00",P,1,21.000,4.50
7703,3103,"2005-05-07 00:00:00",P,1,42.000,25.50
7703,5102,"2005-06-11 00:00:00",P,1,42.000,25.50
7708,504,"2005-07-29 00:00:00",P,1,28.140,4.14
7708,603,"2005-06-09 00:00:00",P,1,48.000,24.00
7708,4702,"2005-05-18 00:00:00",P,1,45.000,21.00
7715,2707,"2005-06-09 00:00:00",P,1,12.000,2.60
7737,6009,"2005-07-29 00:00:00",P,1,13.650,-3.63
7746,202,"2005-04-01 00:00:00",P,1,8.700,-8.70
7746,3502,"2005-03-27 00:00:00",P,1,14.500,-2.90
7746,3702,"2004-12-08 00:00:00",P,1,58.000,40.60
7746,4902,"2005-03-04 00:00:00",P,1,14.500,-2.90
7746,5302,"2005-03-29 00:00:00",P,1,8.700,-8.70
7746,7302,"2005-03-17 00:00:00",P,1,10.150,-7.25
7777,6902,"2005-06-03 00:00:00",P,1,17.000,3.06
7782,4104,"2005-08-04 00:00:00",P,1,14.990,6.35
7793,307,"2005-04-15 00:00:00",P,1,49.990,11.99
7820,3003,"2005-05-29 00:00:00",P,1,20.000,15.10
7820,5102,"2005-07-04 00:00:00",P,1,10.000,4.12
7842,3009,"2005-07-03 00:00:00",P,1,22.000,1.98
7845,6202,"2005-08-10 00:00:00",P,1,14.750,-12.10
7845,8402,"2005-07-27 00:00:00",P,1,27.990,1.14
7857,1202,"2005-08-11 00:00:00",P,1,50.000,29.00
7857,2007,"2005-05-16 00:00:00",P,1,50.000,29.00
7857,3603,"2005-08-12 00:00:00",P,1,12.500,-8.50
7857,4104,"2005-07-14 00:00:00",P,1,33.500,12.50
7857,4303,"2005-04-21 00:00:00",P,1,50.000,29.00
7873,8407,"2005-05-20 00:00:00",P,1,19.500,5.63
7885,3603,"2005-02-25 00:00:00",P,1,24.000,14.00
7915,107,"2005-04-27 00:00:00",P,1,19.500,7.80
7915,202,"2005-03-25 00:00:00",P,1,19.500,7.80
7915,209,"2005-06-01 00:00:00",P,1,19.500,7.80
7915,402,"2004-10-18 00:00:00",P,1,19.500,7.80
7915,402,"2005-04-01 00:00:00",P,1,19.500,7.80
7915,403,"2005-01-13 00:00:00",P,1,19.500,7.80
7915,504,"2005-04-01 00:00:00",P,1,19.500,7.80
7915,504,"2005-05-23 00:00:00",P,1,19.500,7.80
7915,604,"2005-04-15 00:00:00",P,1,19.500,7.80
7915,703,"2004-08-23 00:00:00",P,1,19.500,7.80
7915,709,"2004-09-24 00:00:00",P,1,19.500,7.80
7915,802,"2005-03-31 00:00:00",P,1,19.500,7.80
7915,809,"2004-12-22 00:00:00",P,1,19.500,7.80
7915,1002,"2005-06-11 00:00:00",P,1,19.500,7.80
7915,1004,"2005-04-11 00:00:00",P,1,19.500,7.80
7915,1103,"2004-10-08 00:00:00",P,1,19.500,7.80
7915,1104,"2004-11-15 00:00:00",P,1,19.500,7.80
7915,1207,"2004-12-16 00:00:00",P,1,19.500,7.80
7915,1304,"2004-08-07 00:00:00",P,1,19.500,7.80
7915,1304,"2004-12-27 00:00:00",P,1,19.500,7.80
7915,1402,"2005-05-17 00:00:00",P,1,19.500,7.80
7915,1502,"2005-04-29 00:00:00",P,1,19.500,7.80
7915,1602,"2005-03-25 00:00:00",P,1,19.500,7.80
7915,1607,"2005-03-07 00:00:00",P,1,19.500,7.80
7915,1607,"2005-03-27 00:00:00",P,1,19.500,7.80
7915,1703,"2005-07-16 00:00:00",P,1,19.500,7.80
7915,1807,"2005-02-21 00:00:00",P,1,19.500,7.80
7915,1904,"2005-08-13 00:00:00",P,1,19.500,7.80
7915,1909,"2005-04-09 00:00:00",P,1,19.500,7.80
7915,2007,"2004-10-11 00:00:00",P,1,19.500,7.80
7915,2109,"2004-09-25 00:00:00",P,1,19.500,7.80
7915,2203,"2004-10-05 00:00:00",P,1,19.500,7.80
7915,2204,"2005-02-24 00:00:00",P,1,19.500,7.80
7915,2207,"2005-01-02 00:00:00",P,1,19.500,7.80
7915,2209,"2005-04-25 00:00:00",P,1,19.500,7.80
7915,2603,"2005-01-07 00:00:00",P,1,19.500,7.80
7915,2707,"2005-06-10 00:00:00",P,1,19.500,7.80
7915,2809,"2005-03-14 00:00:00",P,1,19.500,7.80
7915,2909,"2004-10-12 00:00:00",P,1,19.500,7.80
7915,2909,"2004-10-21 00:00:00",P,1,19.500,7.80
7915,3103,"2004-10-13 00:00:00",P,1,19.500,7.80
7915,3103,"2004-12-26 00:00:00",P,1,19.500,7.80
7915,3103,"2005-06-16 00:00:00",P,1,19.500,7.80
7915,3107,"2004-10-01 00:00:00",P,1,19.500,7.80
7915,3202,"2004-09-17 00:00:00",P,1,19.500,7.80
7915,3204,"2004-08-29 00:00:00",P,1,19.500,7.80
7915,3403,"2005-02-04 00:00:00",P,1,19.500,7.80
7915,3407,"2005-02-21 00:00:00",P,1,19.500,7.80
7915,3409,"2005-07-26 00:00:00",P,1,19.500,7.80
7915,3503,"2004-10-22 00:00:00",P,1,19.500,7.80
7915,3603,"2005-08-19 00:00:00",P,1,19.500,7.80
7915,3603,"2005-08-25 00:00:00",P,1,19.500,7.80
7915,3607,"2005-02-13 00:00:00",P,1,19.500,7.80
7915,3704,"2005-04-06 00:00:00",P,1,19.500,7.80
7915,3709,"2005-01-25 00:00:00",P,1,19.500,7.80
7915,4007,"2004-11-11 00:00:00",P,1,19.500,7.80
7915,4107,"2005-04-04 00:00:00",P,1,19.500,7.80
7915,4202,"2005-02-17 00:00:00",P,1,19.500,7.80
7915,4203,"2004-11-29 00:00:00",P,1,19.500,7.80
7915,4203,"2005-01-15 00:00:00",P,1,19.500,7.80
7915,4203,"2005-03-03 00:00:00",P,1,19.500,7.80
7915,4204,"2005-04-07 00:00:00",P,1,19.500,7.80
7915,4207,"2005-04-14 00:00:00",P,1,19.500,7.80
7915,4209,"2004-09-21 00:00:00",P,1,19.500,7.80
7915,4404,"2005-04-21 00:00:00",P,1,19.500,7.80
7915,4407,"2005-08-07 00:00:00",P,1,19.500,7.80
7915,4502,"2005-01-15 00:00:00",P,1,19.500,7.80
7915,4502,"2005-04-09 00:00:00",P,1,19.500,7.80
7915,4507,"2005-06-24 00:00:00",P,1,19.500,7.80
7915,4607,"2004-08-27 00:00:00",P,1,19.500,7.80
7915,4707,"2004-10-23 00:00:00",P,1,19.500,7.80
7915,4807,"2004-08-05 00:00:00",P,1,19.500,7.80
7915,4807,"2005-02-14 00:00:00",P,1,19.500,7.80
7915,4903,"2004-12-02 00:00:00",P,1,19.500,7.80
7915,4903,"2005-03-03 00:00:00",P,1,19.500,7.80
