sku,style,color,size,brand,deptdesc
1730,"0     102163",LAP,M,BERNARD,carole
1736,"-MG   FR0027",MAGENTA,ALL,REDFISH,p&y
1742,"200   530501",BLACK,XL,SUTTONS,environ
1749,"      083045","411NAVY WH",14,"KASPER A",leslie
1756,"      S1084",ASPEN,L,"DOUBLE D",environ
1774,"67    EJLU85","FIG GREEN",2X,"EMMA JAM",be2
1778,"28    JKPU38","TIDE BLUE",10,"JH COLLE",bep
1779,"3     709645",VIOLET,8,PARAMETE,"matty m"
1786,"73    349038",410NAVY,ALL,SUPERBA,"r & y"
1787,005261N70730,ARIZONA,18,"TOMMY HI","r lauren"
1794,"      2247",BLK,M,"GIRL PLA",colehaan
1801,"16    EJPU86","OFF WHITE",S,"EMMA JAM",bep
1808,"      M2111",RED/WHT,M,"IVORY IN",cop
1810,"9     505029",PINK,100M,"STRIDE R",reebok
1813,"9HOP  014232","SPRING LIM",L,,polomen
1815,"3FZ   014279",BLACK,XXL,,polomen
1818,"4LTN  014373","SAILING OR",S,,polomen
1819,"1NL   049092","FRENCH NAV",XL,,polomen
1821,"4BT   049165","NEWPORT NA",5XB,,lisli
1824,"4SPO  049286","GARDEN GRE",M,,polomen
1826,"      BB337",900MULTI,M,"KORET OF",echo
1828,"7     049394","RACING RED",L,,polomen
1830,"7ANAS 097548","MED BLUE/N",18/,,polomen
1834,"9     439396","D-PARROT P",S,,polomen
1835,"3AAAF 487649","MILITARY D",42,,polomen
1839,"9     4203M8",ROYAL,6,"BYER CAL",citizens
1844,"15511 BOGIE5",ORANGE,060M,"WOLFF SH",brioso
1846,"40    121M24","KELLY GREEN",M,BECHAMEL,echo
1847,"7ANAN 797556",ROYAL/WHT,16,,polomen
1848,"7ACB  797558",SKY/WHITE,S,,polomen
1851,"7DOJ  797568",YELLOW/BLU,16/,,polomen
1853,"4XBC  797577",YELLOW/WHI,4XB,,lisli
1858,"4AXC  797593","SUNRISE OR",S,,polomen
1859,"3DOJ  797609",ORANGE/BLU,16,,polomen
1861,"2ANF  797661",WHITE,XXL,,polomen
1862,170012313512,YELLOW,L,"JERELL /",echo
1863,"2COG  867691","FLORAL GIN",XL,,polomen
1867,"5017  LB1627",GOLD/RASP,ALL,CAROLEE,1928
1869,"R1    C12022",CORAL,8,SESSA,catalin
1871,"      H15105",BRONZE,ALL,"VAN ZEEL",bch
1876,"1     BC1631",WHITE,120M,"BORN KID",reebok
1880,"22    D66CZ7",651CORAL,10,CASUAL/,echo
1883,310063384512,WHI,L,"JERELL /",bep
1886,"      336L81",WHT/NAVY,080M,"BROWN SH",invest
1889,"85    D66WQ6",651CORAL,S,CASUAL/,echo
1892,"      2K1302","NEW YELLOW",7,NAUTICA,cartier
1896,"W     PJ3035","DENIM LACY",5,"PRINCY J",cop
1897,"7BR   587650",EXPEDITION,33,"POLO FAS",polomen
1900,0110000H3014,"NAVY STRET",090M,"THE UNIT",invest
1904,"      18160",PURPLE,10,JANTZEN,catalin
1905,"00    719724",ROYAL,S,SUTTONS,environ
1906,"8     711810",WINTERWILL,6,CABERNET,cabern
1909,"23    JKMU38",PARADISEBLU,L,"JH COLLE",echo
1912,"79    EJMU84",CHAMELEON,8,"EMMA JAM",carole
1918,"21B   S45KR4","LIGHT SAGE",4X,ROUNDTRE,lisli
1919,"94    TZMU04",WHITE,10,"EMMA JAM",carole
1927,"59    MWRU72",BLACK,"XL   ND","LIZ CLAI","liz cla"
1931,"32    JWRUL5",SLVR,ALL,"LIZ CLAI",1928
1932,"      RA56SB","SPORTING B",S,"SARA LEE","r taylor"
